,BFS,Bi-BFS,A*,Bi-A*
0,"{'length': 7, 'iterations': 6403}","{'length': 8, 'iterations': 109}","{'length': 7, 'iterations': 38}","{'length': 8, 'iterations': 111}"
1,"{'length': 9, 'iterations': 11202}","{'length': 10, 'iterations': 101}","{'length': 9, 'iterations': 295}","{'length': 10, 'iterations': 103}"
2,"{'length': 10, 'iterations': 13807}","{'length': 11, 'iterations': 369}","{'length': 10, 'iterations': 1597}","{'length': 11, 'iterations': 371}"
3,"{'length': 13, 'iterations': 8414}","{'length': 14, 'iterations': 936}","{'length': 13, 'iterations': 349}","{'length': 14, 'iterations': 938}"
4,"{'length': inf, 'iterations': 15181}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 15182}","{'length': inf, 'iterations': 4}"
5,"{'length': inf, 'iterations': 15181}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 15182}","{'length': inf, 'iterations': 3}"
6,"{'length': 9, 'iterations': 5519}","{'length': 10, 'iterations': 227}","{'length': 9, 'iterations': 106}","{'length': 10, 'iterations': 229}"
7,"{'length': 10, 'iterations': 9074}","{'length': 11, 'iterations': 148}","{'length': 10, 'iterations': 122}","{'length': 11, 'iterations': 150}"
8,"{'length': 8, 'iterations': 5106}","{'length': 9, 'iterations': 82}","{'length': 8, 'iterations': 21}","{'length': 9, 'iterations': 84}"
9,"{'length': 11, 'iterations': 12856}","{'length': 12, 'iterations': 689}","{'length': 11, 'iterations': 1473}","{'length': 12, 'iterations': 691}"
10,"{'length': inf, 'iterations': 20685}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 20686}","{'length': inf, 'iterations': 3}"
11,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
12,"{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 4}"
13,"{'length': inf, 'iterations': 20685}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 20686}","{'length': inf, 'iterations': 3}"
14,"{'length': inf, 'iterations': 4}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 5}","{'length': inf, 'iterations': 4}"
15,"{'length': 15, 'iterations': 13928}","{'length': 16, 'iterations': 362}","{'length': 15, 'iterations': 3253}","{'length': 16, 'iterations': 364}"
16,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
17,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
18,"{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 4}"
19,"{'length': inf, 'iterations': 20685}","{'length': inf, 'iterations': 8}","{'length': inf, 'iterations': 20686}","{'length': inf, 'iterations': 13}"
20,"{'length': inf, 'iterations': 18}","{'length': inf, 'iterations': 5}","{'length': inf, 'iterations': 19}","{'length': inf, 'iterations': 6}"
21,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
22,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
23,"{'length': 32, 'iterations': 6054}","{'length': 33, 'iterations': 3193}","{'length': 32, 'iterations': 2869}","{'length': 33, 'iterations': 3195}"
24,"{'length': inf, 'iterations': 13163}","{'length': inf, 'iterations': 10}","{'length': inf, 'iterations': 13164}","{'length': inf, 'iterations': 12}"
25,"{'length': inf, 'iterations': 13163}","{'length': inf, 'iterations': 4}","{'length': inf, 'iterations': 13164}","{'length': inf, 'iterations': 5}"
26,"{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 4}"
27,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
28,"{'length': inf, 'iterations': 13163}","{'length': inf, 'iterations': 6}","{'length': inf, 'iterations': 13164}","{'length': inf, 'iterations': 7}"
29,"{'length': inf, 'iterations': 4}","{'length': inf, 'iterations': 4}","{'length': inf, 'iterations': 5}","{'length': inf, 'iterations': 6}"
30,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
31,"{'length': inf, 'iterations': 206}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 207}","{'length': inf, 'iterations': 3}"
32,"{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 3}"
33,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
34,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
35,"{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 4}"
36,"{'length': inf, 'iterations': 1019}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 1020}","{'length': inf, 'iterations': 3}"
37,"{'length': inf, 'iterations': 20}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 21}","{'length': inf, 'iterations': 3}"
38,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
39,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
40,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
41,"{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 4}"
42,"{'length': inf, 'iterations': 18}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 19}","{'length': inf, 'iterations': 3}"
43,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
44,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
45,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
46,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
47,"{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 3}"
48,"{'length': inf, 'iterations': 9}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 10}","{'length': inf, 'iterations': 3}"
49,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
50,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
51,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
52,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
53,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
54,"{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 3}"
55,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
56,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
57,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
58,"{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 1}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 2}"
59,"{'length': inf, 'iterations': 3}","{'length': inf, 'iterations': 2}","{'length': inf, 'iterations': 4}","{'length': inf, 'iterations': 3}"
